Name,AUID,Coords,Const,Type,Period,Mag
"RS And","000-BCS-094","23 55 21.75 +48 38 17.8","And","SRA","136","7.0 - 9.4 V"
"RT And","000-BCR-283","23 11 10.10 +53 01 33.0","And","EA/RS","0.6289285","8.93 - 9.85 V"
"SU And","000-BCT-502","00 04 36.41 +43 33 04.7","And","LC","--","8.0 - 8.5 V"
"TZ And","000-BCS-038","23 50 51.80 +47 30 28.4","And","LB:","--","8.0 - 9.3 V"
"UX And","000-BBF-087","02 33 28.75 +45 39 16.2","And","SRB","200","8.2 - 9.9 V"
"VX And","000-BBB-467","00 19 54.02 +44 42 33.9","And","SRA","375","7.5 - 9.7 V"
"WY And","000-BCR-833","23 41 29.69 +47 35 43.8","And","SRD","109.65","8.65 - 9.65 V"
"AC And","000-BCR-368","23 18 02.35 +48 46 58.3","And","RRD","0.7112376","10.70 (1.2) V"
"AN And","000-BCR-373","23 18 23.32 +41 46 25.2","And","EB","3.21952","5.96 - 6.11 V"
"AQ And","000-BCT-509","00 27 31.68 +35 35 14.5","And","SRB","169","7.7 - 9.5 V"
"AY And","000-BDC-787","23 01 36.95 +52 51 21.2","And","RS","37.75","9.64 - 9.82 V"
"BX And","000-BBD-503","02 09 03.42 +40 47 39.2","And","EB","0.6101119","8.87 - 9.53 V"
"BZ And","000-BCT-513","00 37 37.74 +45 36 15.3","And","LB","--","7.7 - 8.6 V"
"CC And","000-BCT-514","00 43 48.01 +42 16 55.8","And","HADS","0.1249071","9.19 - 9.46 V"
"CG And","000-BDC-799","00 00 43.63 +45 15 12.0","And","ACV","3.73975","6.32 - 6.42 V"
"CV And","000-BDC-808","23 00 59.53 +50 18 34.9","And","M","255.2580339","15.330 (4.905) g"
"EG And","000-BBC-010","00 44 37.19 +40 40 45.7","And","ZAND+E","482.57","6.97 - 7.8 V"
"EW And","000-BDC-661","23 26 57.36 +49 30 59.0","And","LB","--","8.8 - 9.4 V"
"FQ And","000-BDC-847","01 51 51.98 +38 51 58.9","And","RRAB","0.4897503","16.300 (1.12) CV"
